"","from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"22295","PHL","CAE","Chautauqua Airlines Inc.",5,250,140,675,522
"22296","PHL","CLE","Chautauqua Airlines Inc.",72,3600,2605,675,363
"22297","PHL","CVG","Chautauqua Airlines Inc.",28,1400,995,675,507
"22298","PHL","GSO","Chautauqua Airlines Inc.",5,250,152,675,365
"22299","PHL","GSP","Chautauqua Airlines Inc.",4,200,126,675,514
"22300","PHL","ILM","Chautauqua Airlines Inc.",4,200,126,675,413
"22301","PHL","LGA","Chautauqua Airlines Inc.",29,1450,1104,675,96
"22302","PHL","MKE","Chautauqua Airlines Inc.",1,50,22,675,690
"22303","PHL","PHL","Chautauqua Airlines Inc.",1,50,8,675,0
"22304","PHL","PIT","Chautauqua Airlines Inc.",3,150,127,675,267
"22305","PHL","SDF","Chautauqua Airlines Inc.",63,3150,1912,675,576
"22306","PIA","ORD","Chautauqua Airlines Inc.",111,4884,3385,676,130
"22307","PIT","CVG","Chautauqua Airlines Inc.",26,1300,943,675,256
"22308","PIT","DCA","Chautauqua Airlines Inc.",3,150,91,675,205
"22309","PIT","JFK","Chautauqua Airlines Inc.",38,1900,1586,675,340
"22310","PIT","MKE","Chautauqua Airlines Inc.",52,2600,2092,675,431
"22311","PVD","CLE","Chautauqua Airlines Inc.",33,1650,1058,675,540
"22312","PVD","DCA","Chautauqua Airlines Inc.",4,200,123,675,357
"22313","PVD","HPN","Chautauqua Airlines Inc.",1,44,41,676,127
"22314","PWM","CHS","Chautauqua Airlines Inc.",1,50,8,675,909
"22315","PWM","LGA","Chautauqua Airlines Inc.",52,2600,1650,675,270
"22316","RDU","CLE","Chautauqua Airlines Inc.",78,3900,2932,675,416
"22317","RDU","CVG","Chautauqua Airlines Inc.",24,1200,993,675,390
"22318","RDU","DCA","Chautauqua Airlines Inc.",44,2200,1498,675,227
"22319","RDU","JFK","Chautauqua Airlines Inc.",27,1350,1118,675,426
"22320","RDU","LGA","Chautauqua Airlines Inc.",29,1450,1154,675,431
"22321","RDU","MEM","Chautauqua Airlines Inc.",1,50,48,675,634
"22322","RIC","DTW","Chautauqua Airlines Inc.",16,800,389,675,456
"22323","RIC","JFK","Chautauqua Airlines Inc.",28,1400,1098,675,288
"22324","ROA","LAF","Chautauqua Airlines Inc.",1,50,45,675,431
"22325","ROC","JFK","Chautauqua Airlines Inc.",74,3700,2773,675,264
"22326","RST","ORD","Chautauqua Airlines Inc.",72,3168,1746,676,268
"22327","SAV","DTW","Chautauqua Airlines Inc.",2,100,96,675,706
"22328","SAV","JFK","Chautauqua Airlines Inc.",1,50,31,675,718
"22329","SAV","LGA","Chautauqua Airlines Inc.",47,2350,1532,675,722
"22330","SBN","DTW","Chautauqua Airlines Inc.",14,700,589,675,157
"22331","SBN","SDF","Chautauqua Airlines Inc.",1,50,30,675,245
"22332","SDF","CLE","Chautauqua Airlines Inc.",26,1300,578,675,304
"22333","SDF","CLT","Chautauqua Airlines Inc.",4,200,118,675,336
"22334","SDF","CVG","Chautauqua Airlines Inc.",30,1500,1197,675,83
"22335","SDF","DCA","Chautauqua Airlines Inc.",56,2800,1540,675,474
"22336","SDF","DTW","Chautauqua Airlines Inc.",24,1200,973,675,306
"22337","SDF","IAH","Chautauqua Airlines Inc.",66,3300,2604,675,788
"22338","SDF","LGA","Chautauqua Airlines Inc.",58,2900,1992,675,658
"22339","SDF","MEM","Chautauqua Airlines Inc.",85,4250,3565,675,320
"22340","SDF","MKE","Chautauqua Airlines Inc.",39,1443,971,674,348
"22341","SDF","MKE","Chautauqua Airlines Inc.",4,200,117,675,348
"22342","SDF","ORD","Chautauqua Airlines Inc.",107,4708,3873,676,286
"22343","SDF","PHL","Chautauqua Airlines Inc.",69,3450,2248,675,576
"22344","SDF","PIA","Chautauqua Airlines Inc.",1,44,41,676,272
"22345","SDF","SBN","Chautauqua Airlines Inc.",1,50,31,675,245
"22346","STL","CLE","Chautauqua Airlines Inc.",35,1750,1470,675,487
"22347","STL","CLT","Chautauqua Airlines Inc.",4,200,188,675,575
"22348","STL","IAH","Chautauqua Airlines Inc.",76,3800,2968,675,668
"22349","STL","MKE","Chautauqua Airlines Inc.",23,851,642,674,317
"22350","STL","MKE","Chautauqua Airlines Inc.",21,1050,718,675,317
"22351","SYR","DTW","Chautauqua Airlines Inc.",18,900,420,675,374
"22352","SYR","JFK","Chautauqua Airlines Inc.",31,1550,1058,675,209
"22353","TOL","ORD","Chautauqua Airlines Inc.",53,2332,1834,676,214
"22354","TUL","IAH","Chautauqua Airlines Inc.",44,2200,1691,675,429
"22355","TYS","DTW","Chautauqua Airlines Inc.",26,1300,941,675,443
"22356","ABQ","DEN","Shuttle America Corp.",28,1960,1350,677,349
"22357","ABQ","ORD","Shuttle America Corp.",31,2170,1617,677,1118
"22358","ALB","BOS","Shuttle America Corp.",1,76,55,673,145
"22359","ATL","DEN","Shuttle America Corp.",72,5040,4223,677,1199
"22360","ATL","IAD","Shuttle America Corp.",33,2310,1773,677,533
"22361","ATL","IND","Shuttle America Corp.",1,70,62,677,432
"22362","ATL","ORD","Shuttle America Corp.",15,1050,829,677,606
"22363","AUS","DEN","Shuttle America Corp.",28,1960,1672,677,775
"22364","AUS","ORD","Shuttle America Corp.",27,1890,1458,677,978
"22365","BDL","IAD","Shuttle America Corp.",2,140,113,677,326
"22366","BNA","LGA","Shuttle America Corp.",6,456,205,673,764
"22367","BOS","CMH","Shuttle America Corp.",16,1216,741,673,640
"22368","BOS","IAD","Shuttle America Corp.",15,1050,909,677,413
"22369","BOS","IND","Shuttle America Corp.",73,5548,2848,673,817
"22370","BOS","LGA","Shuttle America Corp.",12,912,269,673,185
"22371","BOS","MEM","Shuttle America Corp.",27,2052,1213,673,1139
"22372","BOS","ORD","Shuttle America Corp.",37,2590,2251,677,867
"22373","BOS","RDU","Shuttle America Corp.",1,76,63,673,612
"22374","BUF","IAD","Shuttle America Corp.",25,1750,1302,677,284
"22375","BUF","ORD","Shuttle America Corp.",34,2380,1786,677,473
"22376","CID","DEN","Shuttle America Corp.",29,2030,1653,677,692
"22377","CID","ORD","Shuttle America Corp.",41,2870,1750,677,196
"22378","CLT","IAD","Shuttle America Corp.",43,3010,1853,677,321
"22379","CLT","ORD","Shuttle America Corp.",15,1050,773,677,599
"22380","CMH","BOS","Shuttle America Corp.",18,1368,631,673,640
"22381","CMH","CMH","Shuttle America Corp.",1,70,42,677,0
"22382","CMH","DEN","Shuttle America Corp.",11,770,636,677,1155
"22383","CMH","DTW","Shuttle America Corp.",28,2128,1248,673,155
"22384","CMH","IAD","Shuttle America Corp.",30,2100,1207,677,299
"22385","CMH","LGA","Shuttle America Corp.",75,5700,3231,673,478
"22386","CMH","MDT","Shuttle America Corp.",1,76,47,673,324
"22387","CMH","ORD","Shuttle America Corp.",75,5250,3953,677,296
"22388","DCA","DTW","Shuttle America Corp.",2,152,61,673,405
"22389","DCA","JFK","Shuttle America Corp.",1,76,20,673,213
"22390","DCA","LGA","Shuttle America Corp.",258,19608,8054,673,214
"22391","DCA","ORD","Shuttle America Corp.",57,3990,2925,677,612
"22392","DEN","ABQ","Shuttle America Corp.",28,1960,1485,677,349
"22393","DEN","ATL","Shuttle America Corp.",44,3080,2536,677,1199
"22394","DEN","AUS","Shuttle America Corp.",25,1750,1368,677,775
"22395","DEN","CID","Shuttle America Corp.",10,700,509,677,692
"22396","DEN","CMH","Shuttle America Corp.",31,2170,1597,677,1155
"22397","DEN","DFW","Shuttle America Corp.",22,1540,1135,677,641
"22398","DEN","DSM","Shuttle America Corp.",17,1190,957,677,589
"22399","DEN","GRR","Shuttle America Corp.",32,2240,1692,677,1014
"22400","DEN","IAH","Shuttle America Corp.",16,1120,896,677,861
"22401","DEN","IND","Shuttle America Corp.",57,3990,3100,677,977
"22402","DEN","MCI","Shuttle America Corp.",22,1540,1222,677,533
"22403","DEN","MLI","Shuttle America Corp.",14,980,365,677,751
"22404","DEN","MSP","Shuttle America Corp.",84,5880,4428,677,680
"22405","DEN","PIT","Shuttle America Corp.",34,2380,1708,677,1290
"22406","DEN","SAT","Shuttle America Corp.",44,3080,2307,677,794
"22407","DEN","SDF","Shuttle America Corp.",25,1750,1308,677,1023
"22408","DEN","SLC","Shuttle America Corp.",12,840,718,677,391
"22409","DFW","DEN","Shuttle America Corp.",11,770,672,677,641
"22410","DFW","ORD","Shuttle America Corp.",70,4900,3872,677,802
"22411","DSM","DEN","Shuttle America Corp.",59,4130,3545,677,589
"22412","DSM","ORD","Shuttle America Corp.",30,2100,1649,677,299
"22413","DTW","CMH","Shuttle America Corp.",35,2660,1950,673,155
"22414","DTW","DCA","Shuttle America Corp.",2,152,53,673,405
"22415","DTW","GRR","Shuttle America Corp.",6,456,398,673,120
"22416","DTW","LGA","Shuttle America Corp.",2,152,117,673,501
"22417","DTW","MKE","Shuttle America Corp.",1,76,69,673,238
"22418","DTW","MSP","Shuttle America Corp.",1,76,58,673,528
"22419","DTW","ORD","Shuttle America Corp.",1,76,55,673,235
"22420","DTW","PVD","Shuttle America Corp.",9,684,515,673,614
"22421","DTW","RDU","Shuttle America Corp.",12,912,770,673,501
"22422","GEG","DEN","Shuttle America Corp.",2,140,115,677,836
"22423","GEG","ORD","Shuttle America Corp.",13,910,740,677,1498
"22424","GRR","DEN","Shuttle America Corp.",25,1750,1437,677,1014
"22425","GRR","DTW","Shuttle America Corp.",14,1064,795,673,120
"22426","GRR","GRR","Shuttle America Corp.",1,70,24,677,0
"22427","GRR","LGA","Shuttle America Corp.",3,228,131,673,618
"22428","GRR","MCO","Shuttle America Corp.",2,152,128,673,1023
"22429","GRR","ORD","Shuttle America Corp.",30,2100,1416,677,137
"22430","HPN","ORD","Shuttle America Corp.",44,3080,1873,677,738
"22431","IAD","ATL","Shuttle America Corp.",6,420,299,677,533
"22432","IAD","BDL","Shuttle America Corp.",1,70,51,677,326
"22433","IAD","BOS","Shuttle America Corp.",15,1050,707,677,413
"22434","IAD","BUF","Shuttle America Corp.",40,2800,1614,677,284
"22435","IAD","CLT","Shuttle America Corp.",16,1120,864,677,321
"22436","IAD","CMH","Shuttle America Corp.",17,1190,857,677,299
"22437","IAD","DFW","Shuttle America Corp.",3,210,178,677,1172
"22438","IAD","IND","Shuttle America Corp.",74,5180,2700,677,476
"22439","IAD","JFK","Shuttle America Corp.",6,420,327,677,228
"22440","IAD","LGA","Shuttle America Corp.",55,3850,2959,677,229
"22441","IAD","MCI","Shuttle America Corp.",12,840,597,677,926
"22442","IAD","MIA","Shuttle America Corp.",92,6440,5147,677,921
"22443","IAD","MSY","Shuttle America Corp.",19,1330,557,677,954
"22444","IAD","ORF","Shuttle America Corp.",18,1260,979,677,157
"22445","IAD","PIT","Shuttle America Corp.",95,6650,4516,677,183
"22446","IAD","RDU","Shuttle America Corp.",23,1610,1011,677,224
"22447","IAD","ROC","Shuttle America Corp.",9,630,359,677,289
"22448","IAD","RSW","Shuttle America Corp.",2,140,70,677,890
"22449","IAD","SAT","Shuttle America Corp.",13,910,707,677,1362
"22450","IAH","DEN","Shuttle America Corp.",17,1190,976,677,861
"22451","IAH","IAD","Shuttle America Corp.",2,140,93,677,1190
"22452","IAH","ORD","Shuttle America Corp.",36,2520,1915,677,925
"22453","IND","BOS","Shuttle America Corp.",73,5548,2853,673,817
"22454","IND","CYS","Shuttle America Corp.",1,70,59,677,980
"22455","IND","DEN","Shuttle America Corp.",51,3570,2728,677,977
"22456","IND","DTW","Shuttle America Corp.",1,76,64,673,231
"22457","IND","IAD","Shuttle America Corp.",43,3010,1836,677,476
"22458","IND","LGA","Shuttle America Corp.",82,6232,4744,673,659
"22459","IND","ORD","Shuttle America Corp.",187,13090,8979,677,177
"22460","JAX","LGA","Shuttle America Corp.",2,152,90,673,834
"22461","JFK","IAD","Shuttle America Corp.",5,350,308,677,228
"22462","LGA","BNA","Shuttle America Corp.",8,608,339,673,764
"22463","LGA","BOS","Shuttle America Corp.",12,912,216,673,185
"22464","LGA","CMH","Shuttle America Corp.",71,5396,3320,673,478
"22465","LGA","DCA","Shuttle America Corp.",256,19456,7458,673,214
"22466","LGA","DTW","Shuttle America Corp.",2,152,109,673,501
"22467","LGA","GRR","Shuttle America Corp.",11,836,637,673,618
"22468","LGA","IAD","Shuttle America Corp.",1,76,51,673,229
"22469","LGA","IAD","Shuttle America Corp.",55,3850,3070,677,229
"22470","LGA","IND","Shuttle America Corp.",80,6080,4410,673,659
"22471","LGA","JAX","Shuttle America Corp.",2,152,61,673,834
"22472","LGA","MCI","Shuttle America Corp.",11,836,562,673,1107
"22473","LGA","ORD","Shuttle America Corp.",228,17328,9977,673,733
"22474","LGA","ORD","Shuttle America Corp.",15,1050,818,677,733
"22475","LGA","RDU","Shuttle America Corp.",57,4332,2825,673,431
"22476","LGA","STL","Shuttle America Corp.",44,3344,1957,673,887
"22477","MCI","DEN","Shuttle America Corp.",16,1120,974,677,533
"22478","MCI","IAD","Shuttle America Corp.",13,910,740,677,926
"22479","MCI","LGA","Shuttle America Corp.",11,836,547,673,1107
"22480","MCI","ORD","Shuttle America Corp.",25,1750,1151,677,403
"22481","MCO","GRR","Shuttle America Corp.",2,152,133,673,1023
"22482","MDT","LGA","Shuttle America Corp.",3,228,143,673,157
"22483","MDW","MSP","Shuttle America Corp.",2,152,85,673,349
"22484","MEM","ALB","Shuttle America Corp.",1,76,55,673,1018
"22485","MEM","BOS","Shuttle America Corp.",25,1900,1504,673,1139
"22486","MEM","MEM","Shuttle America Corp.",1,76,54,673,0
"22487","MEM","MSY","Shuttle America Corp.",31,2356,1761,673,349
"22488","MEM","RDU","Shuttle America Corp.",2,152,107,673,634
"22489","MIA","IAD","Shuttle America Corp.",93,6510,4897,677,921
"22490","MIA","ORD","Shuttle America Corp.",86,6020,4529,677,1197
"22491","MKE","DTW","Shuttle America Corp.",1,76,51,673,238
"22492","MLI","DEN","Shuttle America Corp.",34,2380,1620,677,751
"22493","MLI","ORD","Shuttle America Corp.",43,3010,1891,677,139
"22494","MSP","DEN","Shuttle America Corp.",59,4130,3413,677,680
"22495","MSP","IND","Shuttle America Corp.",1,76,51,673,503
"22496","MSP","MDW","Shuttle America Corp.",2,152,74,673,349
"22497","MSP","ORD","Shuttle America Corp.",1,76,23,673,334
"22498","MSP","ORD","Shuttle America Corp.",125,8750,6590,677,334
"22499","MSY","IAD","Shuttle America Corp.",3,210,172,677,954
"22500","MSY","MEM","Shuttle America Corp.",31,2356,1918,673,349
"22501","MSY","ORD","Shuttle America Corp.",36,2520,1570,677,837
"22502","ORD","ABQ","Shuttle America Corp.",31,2170,1670,677,1118
"22503","ORD","ATL","Shuttle America Corp.",72,5040,3910,677,606
"22504","ORD","AUS","Shuttle America Corp.",28,1960,1392,677,978
"22505","ORD","BDL","Shuttle America Corp.",1,70,64,677,783
"22506","ORD","BOS","Shuttle America Corp.",38,2660,1964,677,867
"22507","ORD","BUF","Shuttle America Corp.",19,1330,1134,677,473
"22508","ORD","CID","Shuttle America Corp.",57,3990,2799,677,196
"22509","ORD","CLT","Shuttle America Corp.",42,2940,2277,677,599
"22510","ORD","CMH","Shuttle America Corp.",67,4690,3660,677,296
"22511","ORD","DCA","Shuttle America Corp.",59,4130,2968,677,612
"22512","ORD","DEN","Shuttle America Corp.",1,70,50,677,888
"22513","ORD","DFW","Shuttle America Corp.",60,4200,3603,677,802
"22514","ORD","DSM","Shuttle America Corp.",73,5110,2759,677,299
"22515","ORD","DTW","Shuttle America Corp.",1,76,55,673,235
"22516","ORD","GEG","Shuttle America Corp.",15,1050,877,677,1498
"22517","ORD","GRR","Shuttle America Corp.",25,1750,1153,677,137
"22518","ORD","HPN","Shuttle America Corp.",42,2940,1996,677,738
"22519","ORD","IAH","Shuttle America Corp.",39,2730,2208,677,925
"22520","ORD","IND","Shuttle America Corp.",146,10220,7234,677,177
"22521","ORD","LGA","Shuttle America Corp.",226,17176,9081,673,733
"22522","ORD","LGA","Shuttle America Corp.",17,1190,984,677,733
"22523","ORD","MCI","Shuttle America Corp.",20,1400,822,677,403
"22524","ORD","MDT","Shuttle America Corp.",1,76,42,673,594
"22525","ORD","MEM","Shuttle America Corp.",1,76,62,673,491
"22526","ORD","MIA","Shuttle America Corp.",86,6020,5082,677,1197
"22527","ORD","MLI","Shuttle America Corp.",60,4200,2802,677,139
"22528","ORD","MSP","Shuttle America Corp.",1,76,25,673,334
"22529","ORD","MSP","Shuttle America Corp.",103,7210,5668,677,334
"22530","ORD","MSY","Shuttle America Corp.",21,1470,1086,677,837
"22531","ORD","ORF","Shuttle America Corp.",66,4620,2839,677,717
"22532","ORD","PIT","Shuttle America Corp.",15,1050,911,677,412
"22533","ORD","PVU","Shuttle America Corp.",1,70,50,677,1245
"22534","ORD","RDU","Shuttle America Corp.",14,980,685,677,647
"22535","ORD","ROC","Shuttle America Corp.",15,1050,404,677,528
"22536","ORD","RSW","Shuttle America Corp.",40,2800,2291,677,1120
"22537","ORD","SAT","Shuttle America Corp.",41,2870,2163,677,1041
"22538","ORD","SDF","Shuttle America Corp.",83,5810,3929,677,286
"22539","ORD","SLC","Shuttle America Corp.",51,3570,2894,677,1249
"22540","ORF","IAD","Shuttle America Corp.",45,3150,2002,677,157
"22541","ORF","ORD","Shuttle America Corp.",39,2730,1962,677,717
"22542","PIT","DEN","Shuttle America Corp.",5,350,246,677,1290
"22543","PIT","IAD","Shuttle America Corp.",71,4970,3425,677,183
"22544","PIT","ORD","Shuttle America Corp.",69,4830,3146,677,412
"22545","PVD","DTW","Shuttle America Corp.",9,684,515,673,614
"22546","RDU","DTW","Shuttle America Corp.",12,912,805,673,501
"22547","RDU","IAD","Shuttle America Corp.",20,1400,1196,677,224
"22548","RDU","LGA","Shuttle America Corp.",58,4408,3167,673,431
"22549","RDU","ORD","Shuttle America Corp.",17,1190,904,677,647
"22550","ROC","IAD","Shuttle America Corp.",1,70,41,677,289
"22551","ROC","ORD","Shuttle America Corp.",23,1610,1270,677,528
"22552","RSW","IAD","Shuttle America Corp.",2,140,93,677,890
"22553","RSW","ORD","Shuttle America Corp.",39,2730,1910,677,1120
"22554","SAT","DEN","Shuttle America Corp.",27,1890,1477,677,794
"22555","SAT","IAD","Shuttle America Corp.",1,70,20,677,1362
"22556","SAT","ORD","Shuttle America Corp.",68,4760,3331,677,1041
"22557","SDF","DEN","Shuttle America Corp.",27,1890,1474,677,1023
"22558","SDF","ORD","Shuttle America Corp.",81,5670,3486,677,286
"22559","SLC","DEN","Shuttle America Corp.",12,840,636,677,391
"22560","SLC","ORD","Shuttle America Corp.",51,3570,2443,677,1249
"22561","STL","LGA","Shuttle America Corp.",44,3344,1543,673,887
"22562","STL","MDT","Shuttle America Corp.",1,76,30,673,733
"22563","EWR","MYR","Dynamic Airways, LLC",5,695,473,655,550
"22564","IAG","MYR","Dynamic Airways, LLC",4,556,407,655,650
"22565","IAG","PBG","Dynamic Airways, LLC",3,417,339,655,293
"22566","IAG","PBI","Dynamic Airways, LLC",1,139,39,655,1134
"22567","MYR","EWR","Dynamic Airways, LLC",5,695,418,655,550
"22568","MYR","IAG","Dynamic Airways, LLC",7,973,597,655,650
"22569","MYR","PBG","Dynamic Airways, LLC",4,556,217,655,811
"22570","MYR","PIT","Dynamic Airways, LLC",4,556,455,655,476
"22571","PBG","MYR","Dynamic Airways, LLC",7,973,679,655,811
"22572","PBI","IAG","Dynamic Airways, LLC",1,139,14,655,1134
"22573","PBI","MYR","Dynamic Airways, LLC",1,139,5,655,487
"22574","PBI","PGD","Dynamic Airways, LLC",4,556,77,655,118
"22575","PGD","PBI","Dynamic Airways, LLC",4,556,77,655,118
"22576","PGD","RFD","Dynamic Airways, LLC",4,556,349,655,1127
"22577","PIT","MYR","Dynamic Airways, LLC",4,556,450,655,476
"22578","RFD","PGD","Dynamic Airways, LLC",3,417,231,655,1127
"22579","ATL","LAN","World Airways Inc.",2,712,10,740,630
"22580","ATL","MSN","World Airways Inc.",2,714,18,740,707
"22581","BDL","PHX","World Airways Inc.",1,358,344,740,2213
"22582","BWI","BDL","World Airways Inc.",1,358,6,740,283
"22583","CMI","ATL","World Airways Inc.",1,357,11,740,490
"22584","CMI","EFD","World Airways Inc.",1,355,265,740,818
"22585","EFD","CMI","World Airways Inc.",1,357,230,740,818
"22586","LAN","MCO","World Airways Inc.",1,357,299,740,1006
"22587","LAN","SFB","World Airways Inc.",1,355,351,740,983
"22588","LAX","EFD","World Airways Inc.",1,357,11,740,1397
"22589","MCO","ATL","World Airways Inc.",1,357,10,740,403
"22590","MSN","LAX","World Airways Inc.",2,714,711,740,1687
"22591","SFB","ATL","World Airways Inc.",1,355,10,740,385
"22592","HNL","LNY","Mokulele Flight Services, Inc.",48,432,267,415,73
"22593","HNL","MKK","Mokulele Flight Services, Inc.",183,1647,1207,415,54
"22594","HNL","OGG","Mokulele Flight Services, Inc.",2,18,2,415,100
"22595","KOA","MKK","Mokulele Flight Services, Inc.",25,225,49,415,119
"22596","KOA","OGG","Mokulele Flight Services, Inc.",283,2547,2020,415,84
"22597","LIH","HNL","Mokulele Flight Services, Inc.",1,9,4,415,102
"22598","LNY","HNL","Mokulele Flight Services, Inc.",38,342,186,415,73
"22599","MKK","HNL","Mokulele Flight Services, Inc.",177,1593,1143,415,54
"22600","MKK","KOA","Mokulele Flight Services, Inc.",32,288,55,415,119
"22601","MKK","OGG","Mokulele Flight Services, Inc.",108,972,704,415,46
"22602","OGG","KOA","Mokulele Flight Services, Inc.",253,2277,1905,415,84
"22603","OGG","MKK","Mokulele Flight Services, Inc.",99,891,682,415,46
"22604","LAS","LAX","Air Alsie A/S",1,10,2,682,236
"22605","LAS","TEB","Air Alsie A/S",1,10,2,682,2232
"22606","LAX","LAS","Air Alsie A/S",1,10,2,682,236
"22607","TEB","LAS","Air Alsie A/S",1,13,2,775,2232
"22608","MIA","JFK","Lan-Chile Airlines",2,438,386,626,1090
"22609","BOS","JFK","Lufthansa German Airlines",1,221,202,696,187
"22610","HDN","EWR","Jet Aviation Business Jets AG",1,18,1,667,1728
"22611","SAT","HOU","Jet Aviation Business Jets AG",1,18,4,667,192
"22612","TEB","HDN","Jet Aviation Business Jets AG",1,18,1,667,1732
"22613","LAX","GUM","Philippine Airlines Inc.",31,13254,12237,819,6089
"22614","LAX","GUM","Philippine Airlines Inc.",7,1848,1790,873,6089
"22615","SFO","GUM","Philippine Airlines Inc.",25,10411,9695,819,5812
"22616","SFO","GUM","Philippine Airlines Inc.",1,264,256,873,5812
"22617","BUF","AZA","JetAlliance Flugbetriebs d/b/a JAF Airservice",1,9,1,653,1898
"22618","EWR","IAD","JetAlliance Flugbetriebs d/b/a JAF Airservice",1,15,1,609,213
"22619","IAD","EWR","JetAlliance Flugbetriebs d/b/a JAF Airservice",1,15,1,609,213
"22620","ABQ","PHX","Mesa Airlines Inc.",3,150,146,629,328
"22621","ABQ","PHX","Mesa Airlines Inc.",95,8170,6143,638,328
"22622","ALB","IAD","Mesa Airlines Inc.",2,100,80,629,325
"22623","ALB","IAD","Mesa Airlines Inc.",46,3036,2138,631,325
"22624","ALB","ORD","Mesa Airlines Inc.",3,198,69,631,723
"22625","ATL","CLT","Mesa Airlines Inc.",13,1118,808,638,227
"22626","ATL","DAY","Mesa Airlines Inc.",1,66,66,631,432
"22627","ATL","IAD","Mesa Airlines Inc.",1,50,13,629,533
"22628","ATL","IAD","Mesa Airlines Inc.",64,4224,3309,631,533
"22629","ATL","ORD","Mesa Airlines Inc.",35,2310,2049,631,606
"22630","ATL","ORF","Mesa Airlines Inc.",1,66,61,631,516
"22631","ATW","ORD","Mesa Airlines Inc.",26,1716,1037,631,160
"22632","AUS","CLT","Mesa Airlines Inc.",89,7654,6738,638,1033
"22633","AUS","ORD","Mesa Airlines Inc.",14,924,841,631,978
"22634","AUS","PHX","Mesa Airlines Inc.",123,10578,8765,638,872
"22635","BDL","IAD","Mesa Airlines Inc.",1,50,50,629,326
"22636","BDL","IAD","Mesa Airlines Inc.",21,1386,1244,631,326
"22637","BDL","ORD","Mesa Airlines Inc.",41,2706,2491,631,783
"22638","BFL","PHX","Mesa Airlines Inc.",64,3200,2374,629,425
"22639","BFL","PHX","Mesa Airlines Inc.",30,2580,2268,638,425
"22640","BHM","CLT","Mesa Airlines Inc.",1,86,84,638,351
"22641","BNA","CLT","Mesa Airlines Inc.",86,7396,5958,638,329
"22642","BTV","IAD","Mesa Airlines Inc.",24,1584,1308,631,442
"22643","BTV","ORD","Mesa Airlines Inc.",39,2574,2152,631,763
"22644","BUF","CLT","Mesa Airlines Inc.",4,344,328,638,546
"22645","BUF","IAD","Mesa Airlines Inc.",2,132,124,631,284
"22646","BUF","ORD","Mesa Airlines Inc.",16,1056,1011,631,473
"22647","BUR","PHX","Mesa Airlines Inc.",26,1300,943,629,369
"22648","BUR","PHX","Mesa Airlines Inc.",43,3698,2594,638,369
"22649","BWI","CLT","Mesa Airlines Inc.",4,344,246,638,361
"22650","CHS","CLT","Mesa Airlines Inc.",134,11524,8775,638,168
"22651","CHS","IAD","Mesa Airlines Inc.",1,50,34,629,441
"22652","CHS","IAD","Mesa Airlines Inc.",13,858,712,631,441
"22653","CHS","ORD","Mesa Airlines Inc.",71,4686,3361,631,760
"22654","CLE","CLT","Mesa Airlines Inc.",82,7052,5122,638,430
"22655","CLT","ATL","Mesa Airlines Inc.",13,1118,874,638,227
"22656","CLT","AUS","Mesa Airlines Inc.",89,7654,6689,638,1033
"22657","CLT","BHM","Mesa Airlines Inc.",1,86,82,638,351
"22658","CLT","BNA","Mesa Airlines Inc.",86,7396,5947,638,329
"22659","CLT","BUF","Mesa Airlines Inc.",4,344,315,638,546
"22660","CLT","BWI","Mesa Airlines Inc.",4,344,304,638,361
"22661","CLT","CHS","Mesa Airlines Inc.",134,11524,8141,638,168
"22662","CLT","CLE","Mesa Airlines Inc.",82,7052,5814,638,430
"22663","CLT","CVG","Mesa Airlines Inc.",108,9288,5711,638,335
"22664","CLT","DAB","Mesa Airlines Inc.",13,1118,862,638,416
"22665","CLT","DTW","Mesa Airlines Inc.",31,2666,2384,638,500
"22666","CLT","EWR","Mesa Airlines Inc.",63,5418,3667,638,529
"22667","CLT","FAY","Mesa Airlines Inc.",31,2666,1636,638,118
"22668","CLT","GSO","Mesa Airlines Inc.",62,5332,3370,638,83
"22669","CLT","IAD","Mesa Airlines Inc.",75,4950,3179,631,321
"22670","CLT","IAD","Mesa Airlines Inc.",127,10922,6773,638,321
"22671","CLT","ILM","Mesa Airlines Inc.",116,9976,7581,638,185
"22672","CLT","JAX","Mesa Airlines Inc.",4,344,271,638,329
"22673","CLT","LIT","Mesa Airlines Inc.",36,3096,2416,638,641
"22674","CLT","MCI","Mesa Airlines Inc.",8,688,540,638,809
"22675","CLT","MDT","Mesa Airlines Inc.",43,3698,2991,638,413
"22676","CLT","MEM","Mesa Airlines Inc.",117,10062,8543,638,512
"22677","CLT","MSP","Mesa Airlines Inc.",2,172,79,638,930
"22678","CLT","MSY","Mesa Airlines Inc.",7,602,485,638,651
"22679","CLT","MYR","Mesa Airlines Inc.",67,5762,4032,638,156
"22680","CLT","ORD","Mesa Airlines Inc.",65,4290,3333,631,599
"22681","CLT","ORF","Mesa Airlines Inc.",66,5676,3570,638,290
"22682","CLT","PIT","Mesa Airlines Inc.",16,1376,1014,638,366
"22683","CLT","PNS","Mesa Airlines Inc.",7,602,486,638,488
"22684","CLT","PVD","Mesa Airlines Inc.",3,258,245,638,683
"22685","CLT","PWM","Mesa Airlines Inc.",15,1290,1106,638,812
"22686","CLT","RDU","Mesa Airlines Inc.",33,2838,1669,638,130
"22687","CLT","RIC","Mesa Airlines Inc.",65,5590,4137,638,256
"22688","CLT","SAT","Mesa Airlines Inc.",52,4472,4086,638,1095
